"POSTAL_CODE","RANK","SCORE","DWELLINGS TOTAL","ACCUM. DWELLINGS","PT_DOG_%","PT_DOG_#","HHI over $100,000_%","HHI over $100,000_#"
M4X1B3,6056,152,27,65896,23.49,6,69.81,19
M6S1Z6,6057,152,45,65941,27.51,12,52.39,24
M6S1Z7,6058,152,42,65983,27.51,12,52.39,22
M6S1Y1,6059,152,43,66026,27.51,12,52.39,23
M2K1S7,6060,152,10,66036,24.29,2,66.32,7
L3T5A9,6061,152,34,66070,25.85,9,59.55,20
L3T5P1,6062,152,3,66073,25.85,1,59.55,2
L3T1C1,6063,152,10,66083,25.86,3,59.50,6
M4S1W7,6064,152,17,66100,25.94,4,59.15,10
M9R2W7,6065,152,6,66106,27.89,2,50.70,3
M9R2W9,6066,152,6,66112,27.89,2,50.69,3
M9R2X7,6067,152,9,66121,27.89,3,50.69,5
M9R2X6,6068,152,7,66128,27.89,2,50.69,4
M6B1Z8,6069,152,16,66144,25.57,4,60.74,10
M6S1T7,6070,152,10,66154,28.02,3,50.12,5
M6P3A1,6071,152,5,66159,26.91,1,54.92,3
M6S1S6,6072,152,7,66166,28.02,2,50.11,4
M6S3X5,6073,152,42,66208,28.02,12,50.11,21
M6S1T6,6074,152,15,66223,28.02,4,50.11,8
M6S1V8,6075,152,10,66233,28.02,3,50.11,5
M6S3X6,6076,152,5,66238,28.02,1,50.11,3
M5N2L5,6077,152,2,66240,27.66,1,51.67,1
M6S1W1,6078,152,12,66252,28.02,3,50.11,6
M6S1S7,6079,152,18,66270,28.02,5,50.11,9
M4S1T2,6080,152,11,66281,26.21,3,57.94,6
M4S1T1,6081,152,9,66290,26.21,2,57.94,5
M6P1L9,6082,152,30,66320,26.90,8,54.94,16
M6P3C6,6083,152,33,66353,26.90,9,54.94,18
M6P3C7,6084,152,25,66378,26.90,7,54.94,14
M6S2Y9,6085,152,7,66385,26.90,2,54.94,4
M5N1H1,6086,152,15,66400,27.66,4,51.64,8
M6P3E2,6087,152,19,66419,26.90,5,54.94,10
M5N1J8,6088,152,58,66477,27.66,16,51.64,30
M5N1J9,6089,152,21,66498,27.66,6,51.64,11
M5N2J9,6090,152,5,66503,27.66,1,51.64,3
M5N1L4,6091,152,64,66567,27.66,18,51.64,33
M6S2Y2,6092,152,42,66609,26.46,11,56.84,24
M5P2L6,6093,152,15,66624,24.79,4,64.07,10
L4J8X9,6094,152,1,66625,28.12,0,49.64,0
M4S1N5,6095,152,6,66631,26.20,2,57.95,3
M4S1T3,6096,152,6,66637,26.20,2,57.95,3
M6S2X4,6097,152,29,66666,24.60,7,64.88,19
M4S2Y1,6098,152,20,66686,26.20,5,57.94,12
M4S2X9,6099,152,18,66704,26.20,5,57.94,10
M4S1V4,6100,152,33,66737,26.20,9,57.94,19
M4S2X4,6101,152,18,66755,26.20,5,57.94,10
M4V1Y2,6102,152,46,66801,26.31,12,57.47,26
M4S1N4,6103,152,11,66812,26.20,3,57.94,6
M6S2B1,6104,152,46,66858,27.48,13,52.39,24
M9B4N7,6105,152,6,66864,27.76,2,51.17,3
M4K2W9,6106,152,2,66866,25.59,1,60.56,1
L4J5K3,6107,152,15,66881,27.94,4,50.37,8
L4J5J5,6108,152,8,66889,27.94,2,50.37,4
L4J7C5,6109,152,18,66907,24.76,4,64.14,12
M4K1J3,6110,152,26,66933,25.59,7,60.52,16
L3T2V2,6111,152,16,66949,24.53,4,65.09,10
M4V1G3,6112,152,53,67002,24.15,13,66.73,35
M2P1N1,6113,152,15,67017,25.05,4,62.82,9
M2P1M9,6114,152,14,67031,25.05,4,62.82,9
M2P1M6,6115,152,22,67053,25.05,6,62.82,14
M2L2V9,6116,152,9,67062,24.81,2,63.85,6
M2L2W6,6117,152,10,67072,24.81,2,63.84,6
M2L2W5,6118,152,21,67093,24.81,5,63.84,13
M2L2W3,6119,152,33,67126,24.81,8,63.84,21
M2L2V6,6120,152,28,67154,24.81,7,63.84,18
M2L2V8,6121,152,15,67169,24.81,4,63.84,10
M3B3R8,6122,152,11,67180,25.30,3,61.71,7
M2L2V7,6123,152,1,67181,24.81,0,63.83,1
M2P1L3,6124,152,1,67182,25.05,0,62.79,1
M5R2L4,6125,152,37,67219,23.53,9,69.35,26
M6H3H1,6126,152,26,67245,22.23,6,74.97,19
L3T4N2,6127,152,9,67254,26.91,2,54.69,5
L3T4L8,6128,152,23,67277,26.91,6,54.68,13
L3T4N1,6129,152,32,67309,26.91,9,54.68,17
L3T4J9,6130,152,16,67325,26.91,4,54.68,9
L3T4M7,6131,152,25,67350,26.91,7,54.68,14
L3T4K2,6132,152,8,67358,26.91,2,54.68,4
M6P3G5,6133,152,44,67402,24.67,11,64.35,28
M9C5E4,6134,152,13,67415,25.50,3,60.74,8
M9C5C7,6135,152,8,67423,25.50,2,60.74,5
M4K1C8,6136,152,68,67491,25.98,18,58.65,40
M9A5A2,6137,152,19,67510,27.81,5,50.71,10
M5V1C2,6138,152,11,67521,23.90,3,67.64,7
M9A4Z1,6139,152,32,67553,27.81,9,50.70,16
M9A4Z4,6140,152,49,67602,27.81,14,50.70,25
M9A4Z2,6141,152,17,67619,27.81,5,50.70,9
M3B1C4,6142,152,7,67626,25.95,2,58.75,4
M9A5A6,6143,152,3,67629,27.81,1,50.69,2
M2J1G8,6144,152,11,67640,26.37,3,56.93,6
M2K1Z6,6145,152,2,67642,24.52,0,64.93,1
M2J1H1,6146,152,8,67650,26.37,2,56.92,5
M3B3A4,6147,152,24,67674,25.95,6,58.73,14
M3B2Z1,6148,152,13,67687,25.95,3,58.73,8
M3B2Z3,6149,152,14,67701,25.95,4,58.73,8
M3B1L7,6150,152,9,67710,27.84,3,50.54,5
M3B2Y9,6151,152,19,67729,25.95,5,58.73,11
M3B2Z8,6152,152,7,67736,25.95,2,58.73,4
M3B1M8,6153,152,7,67743,27.84,2,50.53,4
M2K2B5,6154,152,5,67748,24.52,1,64.91,3
M2K2A5,6155,152,16,67764,24.52,4,64.91,10
M2K2A6,6156,152,8,67772,24.52,2,64.91,5
M2K2B6,6157,152,6,67778,24.52,1,64.91,4
M2K1Z5,6158,152,3,67781,24.52,1,64.91,2
M2K2B8,6159,152,12,67793,24.52,3,64.91,8
M2K2A2,6160,152,9,67802,24.52,2,64.91,6
M2K2A7,6161,152,25,67827,24.52,6,64.91,16
M2K1Z3,6162,152,6,67833,24.52,1,64.90,4
M2K1Z9,6163,152,5,67838,24.52,1,64.90,3
